user_id,return_code
1008,1
1009,2
1024,3
1025,4
1026,1
1027,1
1028,1
1029,1
1040,1
1041,2
1042,2
1043,2
1044,2
1045,1
1046,1
1047,1
1048,1
1049,1
1050,2
1051,2
1052,2
1053,2
1054,2
1055,1
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,1
1066,3
1067,3
1068,3
1069,3
1070,1
1071,1
1072,1
1073,3
1074,1
1075,1
1076,1
1077,1
1078,1
1079,4
1056,1
1057,1
1058,4
1059,1
1060,1
1061,4
1062,1
1063,1
1064,4
1065,2
1066,2
1067,4
1068,1
1069,1
1070,2
1071,2
1072,1
1073,1
1074,1
1075,1
1076,4
1077,1
1078,4
1079,1
1080,1
1081,1
1082,1
1083,2
1084,2
1085,2
1086,1
1087,1
1088,1
1089,2
1090,1
1091,1
1092,1
1093,1
1094,1
1095,1
1096,3
1097,3
1098,3
1099,2
1100,2
1101,2
1102,1
1103,1
1104,3
1105,1
1106,3
1107,1
1108,1
1109,1
1110,1
1111,4
1112,4
1113,1
1114,1
1115,1
1116,1
1117,1
1118,4
1119,4
1120,4
1121,4
1122,3
1123,3
1124,1
1125,1
1126,1
1127,1
1128,1
1129,1
1130,3
1076,4
1077,1
1078,1
1079,1
1080,1
1081,1
1082,4
1083,4
1084,3
1085,1
1086,1
1087,1
1088,1
1089,1
1090,3
1091,2
1092,2
1093,1
1094,1
1095,1
1096,1
1097,1
1098,1
1099,3
1100,3
1101,3
1102,2
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,4
1110,4
1111,1
1112,1
1113,1
1114,1
1115,1
1116,1
1117,2
1173,1
1174,1
1175,2
1106,2
1107,2
1108,1
1109,1
1110,1
1111,1
1112,1
1113,1
1114,1
1115,1
1116,3
1117,3
1118,2
1119,1
1120,1
1121,1
1122,1
1123,1
1124,2
1125,3
1126,3
1127,4
1128,4
1129,3
1130,1
1076,1
1077,1
1078,2
1079,1
1080,1
1081,2
